,Total (g),Total (kg),Total (lbs),Gram to LBS Multiplier
Strawberry,3296,3.296,7.27,453.6
Zucchini,24614,24.614,54.26,
Green Bean,1294,1.294,2.85,
Romaine,620,0.62,1.37,
Little Gem,125,0.125,0.28,
Blueberry,541,0.541,1.19,
Plum,46436.48,46.43648,102.37,
Cucumber,5273,5.273,11.62,
Jalapeno,1867,1.867,4.12,
Anaheim,974,0.974,2.15,
Poblano,1731,1.731,3.82,
Habanero,1094,1.094,2.41,
Bell,773,0.773,1.70,
Corn,1985,1.985,4.38,
Blackberry,197,0.197,0.43,
Cherry,4153,4.153,9.16,
San Marzano,20188,20.188,44.51,
Heirloom,1308,1.308,2.88,
Beefsteak,7970,7.97,17.57,
Gold,2725,2.725,6.01,
Peach,6391,6.391,14.09,
Cantaloupe,3778,3.778,8.33,
,,,,
Totals,137333.48,137.33348,302.76,